HeadYaw, HeadPitch, LShoulderPitch, LShoulderRoll, LElbowYaw, LElbowRoll, LWristYaw, LHand, LHipYawPitch, LHipRoll, LHipPitch, LKneePitch, LAnklePitch, LAnkleRoll, RHipYawPitch, RHipRoll, RHipPitch, RKneePitch, RAnklePitch, RAnkleRoll, RShoulderPitch, RShoulderRoll, RElbowYaw, RElbowRoll, RWristYaw, RHand, BlobX, BlobY
1.069593429565429688e-02,-1.538205146789550781e-02,4.908380508422851562e-01,-6.753802299499511719e-02,-1.136735916137695312e+00,-1.492540121078491211e+00,-1.418992042541503906e+00,7.463999986648559570e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.654240131378173828e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.367396354675292969e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.869839668273925781e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.071318626403808594e-01,8.804740905761718750e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.079996585845947266e-02,1.640833282470703125e+01,2.333249969482421875e+02
1.069593429565429688e-02,-1.538205146789550781e-02,5.107800960540771484e-01,-2.086658477783203125e-01,-1.152075767517089844e+00,-1.486404061317443848e+00,-1.432797908782958984e+00,7.459999918937683105e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.684919834136962891e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.854499816894531250e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.071318626403808594e-01,8.789401054382324219e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.079996585845947266e-02,3.315248107910156250e+01,2.301418457031250000e+02
4.095361232757568359e-01,1.196100711822509766e-01,3.297679424285888672e-01,2.530679702758789062e-01,-1.138269901275634766e+00,-1.000126123428344727e+00,-1.337689876556396484e+00,7.572000026702880859e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.684919834136962891e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.869839668273925781e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.086658477783203125e-01,8.820080757141113281e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.120003223419189453e-02,1.669480895996093750e+02,1.251498794555664062e+02
4.018659591674804688e-01,1.196100711822509766e-01,2.285239696502685547e-01,1.978440284729003906e-01,-1.136735916137695312e+00,-1.009330034255981445e+00,-1.337689876556396484e+00,7.572000026702880859e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.669579982757568359e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.854499816894531250e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.086658477783203125e-01,8.835420608520507812e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.079996585845947266e-02,1.783542327880859375e+02,8.186255645751953125e+01
4.033999443054199219e-01,1.196100711822509766e-01,1.947760581970214844e-01,9.199810028076171875e-02,-1.132133960723876953e+00,-1.009330034255981445e+00,-1.337689876556396484e+00,7.572000026702880859e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.684919834136962891e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.854499816894531250e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.086658477783203125e-01,8.820080757141113281e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.079996585845947266e-02,2.105216827392578125e+02,6.930786895751953125e+01
4.018659591674804688e-01,1.196100711822509766e-01,1.855721473693847656e-01,1.222991943359375000e-02,-1.130599975585937500e+00,-1.010864019393920898e+00,-1.339223861694335938e+00,7.572000026702880859e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.684919834136962891e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.854499816894531250e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.086658477783203125e-01,8.820080757141113281e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.079996585845947266e-02,2.403157348632812500e+02,6.391755676269531250e+01
3.895940780639648438e-01,1.502900123596191406e-01,2.177860736846923828e-01,-5.373191833496093750e-02,-1.125998020172119141e+00,-1.003194093704223633e+00,-1.337689876556396484e+00,7.572000026702880859e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.700259685516357422e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.869839668273925781e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.086658477783203125e-01,8.835420608520507812e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.079996585845947266e-02,2.667631530761718750e+02,8.553299713134765625e+01
3.895940780639648438e-01,1.702320575714111328e-01,2.837481498718261719e-01,-4.299402236938476562e-02,-1.124464035034179688e+00,-1.003194093704223633e+00,-1.339223861694335938e+00,7.572000026702880859e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.700259685516357422e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.869839668273925781e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.086658477783203125e-01,8.835420608520507812e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.079996585845947266e-02,2.628480529785156250e+02,1.078944473266601562e+02
3.880600929260253906e-01,2.070479393005371094e-01,4.156720638275146484e-01,-2.151799201965332031e-02,-1.125998020172119141e+00,-1.003194093704223633e+00,-1.337689876556396484e+00,7.572000026702880859e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.684919834136962891e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.854499816894531250e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.102000713348388672e-01,8.820080757141113281e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.079996585845947266e-02,2.527466735839843750e+02,1.384851226806640625e+02
3.880600929260253906e-01,2.085819244384765625e-01,4.586241245269775391e-01,-1.538205146789550781e-02,-1.124464035034179688e+00,-1.004728078842163086e+00,-1.337689876556396484e+00,7.572000026702880859e-01,-2.453980445861816406e-01,-9.199810028076171875e-02,-7.684919834136962891e-01,2.112546443939208984e+00,-1.188891887664794922e+00,7.516529411077499390e-02,-2.453980445861816406e-01,8.287787437438964844e-02,-7.854499816894531250e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.205605506896972656e-02,1.395981788635253906e+00,-2.086658477783203125e-01,8.835420608520507812e-01,8.422079086303710938e-01,-1.998400688171386719e-02,5.079996585845947266e-02,2.382788391113281250e+02,1.466057739257812500e+02
