# LShoulderPitch,LShoulderRoll,BlobX,BlobY
3.217196464538574219e-02,5.138480663299560547e-01,1.285039305686950795e-01,2.321175575256347601e-01
5.978393554687500000e-02,5.383920669555664062e-01,1.164062500000000028e-01,2.670097668965657478e-01
2.392621040344238281e-01,3.926620483398437500e-01,3.281901121139526589e-01,4.440755208333333481e-01
2.423300743103027344e-01,4.417500495910644531e-01,2.839482069015503152e-01,4.850646336873372100e-01
2.453980445861816406e-01,3.742539882659912109e-01,3.743210077285766824e-01,5.029436429341633819e-01
2.469320297241210938e-01,3.113601207733154297e-01,4.414888381958008146e-01,5.321872075398762503e-01
2.469320297241210938e-01,2.469320297241210938e-01,4.913640022277832031e-01,5.047015825907389397e-01
2.561359405517578125e-01,4.597806930541992188e-02,6.796545505523682307e-01,5.251129150390625444e-01
3.405060768127441406e-01,2.852821350097656250e-01,4.627945899963379350e-01,5.995463689168294419e-01
3.957300186157226562e-01,5.905480384826660156e-01,1.929915547370910645e-01,6.645929336547851118e-01
5.092461109161376953e-01,6.580440998077392578e-01,1.497987985610962081e-01,7.795504252115885713e-01
5.092461109161376953e-01,5.782761573791503906e-01,2.513087511062622181e-01,7.961598078409830581e-01
5.092461109161376953e-01,4.708960056304931641e-01,3.354671001434326172e-01,7.985146204630533262e-01
5.092461109161376953e-01,2.760779857635498047e-01,4.982904911041259877e-01,8.339773813883463172e-01
5.015759468078613281e-01,1.564259529113769531e-01,6.045176029205322488e-01,8.518518447875976785e-01
3.604481220245361328e-01,1.426200866699218750e-01,6.014274597167968972e-01,6.607767740885416297e-01
2.622721195220947266e-01,2.070479393005371094e-01,4.928409099578857644e-01,4.818434397379557366e-01
1.671640872955322266e-01,2.392621040344238281e-01,4.361691951751709428e-01,3.299745559692383035e-01
8.739614486694335938e-02,2.822141647338867188e-01,3.780128955841064453e-01,2.041119893391926954e-01
8.739614486694335938e-02,3.144280910491943359e-01,3.357575416564941850e-01,2.171165625254313225e-01
4.325461387634277344e-01,8.586215972900390625e-02,5.854538917541504128e-01,7.083197911580403350e-01
4.954400062561035156e-01,-5.526590347290039062e-02,7.963310241699219638e-01,9.829320907592773438e-01
4.954400062561035156e-01,-5.833387374877929688e-02,7.396341323852539951e-01,7.781504313151041963e-01
4.954400062561035156e-01,-5.373191833496093750e-02,7.486078262329102229e-01,8.085595448811848662e-01
4.908380508422851562e-01,-1.058878898620605469e-01,8.782172203063964844e-01,9.090707778930663396e-01
4.893040657043457031e-01,-6.140184402465820312e-02,7.469786167144776279e-01,7.902777989705404016e-01
4.923720359802246094e-01,6.592011451721191406e-02,6.371313571929931863e-01,8.331561406453450447e-01
5.199840068817138672e-01,-4.299402236938476562e-02,7.467369079589843972e-01,8.803814570109049775e-01
5.614020824432373047e-01,-1.703159809112548828e-01,8.812856674194335938e-01,9.473210016886393081e-01
5.245859622955322266e-01,-1.779859066009521484e-01,8.764695167541504128e-01,8.635498682657877234e-01
1.917080879211425781e-01,-1.795198917388916016e-01,9.126918792724609819e-01,3.262084325154622211e-01
1.533579826354980469e-01,-1.580438613891601562e-01,8.873771667480468972e-01,2.592274030049641631e-01
2.638061046600341797e-01,-3.109931945800781250e-03,7.292815685272217019e-01,4.909868558247884041e-01
3.328361511230468750e-01,-7.980990409851074219e-02,8.355173110961914285e-01,6.192399978637694868e-01
3.941960334777832031e-01,-7.980990409851074219e-02,8.188798904418945757e-01,6.810371398925780806e-01
3.941960334777832031e-01,-1.074218750000000000e-01,8.358188629150391513e-01,6.650412241617837950e-01
3.941960334777832031e-01,7.205605506896972656e-02,6.300172328948975276e-01,6.282766977945963838e-01
3.957300186157226562e-01,1.993780136108398438e-01,5.112868309020995872e-01,6.255769729614257812e-01
3.941960334777832031e-01,3.297679424285888672e-01,3.946252107620239480e-01,6.061001459757486831e-01
3.957300186157226562e-01,4.662940502166748047e-01,2.807585716247558705e-01,5.943154017130534150e-01
4.064681529998779297e-01,5.414600372314453125e-01,2.117337703704834095e-01,6.182758967081705137e-01
4.785661697387695312e-01,5.046441555023193359e-01,2.802379369735717995e-01,7.496961593627929910e-01
4.785661697387695312e-01,3.006219863891601562e-01,4.470352649688720814e-01,7.717342376708984375e-01
4.801001548767089844e-01,1.579599380493164062e-01,5.956313610076904297e-01,8.157313028971353575e-01
4.785661697387695312e-01,5.671596527099609375e-02,6.353594779968262385e-01,7.391670862833659150e-01
1.932420730590820312e-01,9.199810028076171875e-02,5.710398674011231135e-01,3.086283683776855358e-01
5.058002471923828125e-02,9.506607055664062500e-02,5.237088203430175781e-01,7.647043863932291574e-02
5.211400985717773438e-02,4.137611389160156250e-02,6.289340972900391291e-01,1.165915886561075809e-01
5.364799499511718750e-02,-3.109931945800781250e-03,6.731338500976562500e-01,1.015095472335815346e-01
5.364799499511718750e-02,-1.150920391082763672e-01,8.633650779724121316e-01,1.206114133199056027e-01
5.211400985717773438e-02,-1.457719802856445312e-01,9.253273963928223544e-01,1.096746047337849861e-01
5.211400985717773438e-02,7.627964019775390625e-03,6.439583301544189453e-01,7.943431536356608536e-02
5.211400985717773438e-02,1.702320575714111328e-01,4.559854030609131192e-01,9.284638563791910992e-02
5.211400985717773438e-02,3.236320018768310547e-01,3.191765785217285378e-01,1.034490744272867774e-01
5.211400985717773438e-02,5.031099319458007812e-01,1.384322047233581543e-01,1.175569216410319029e-01
5.211400985717773438e-02,5.184500217437744141e-01,1.231337785720825195e-01,1.303538878758748465e-01
1.594939231872558594e-01,5.123140811920166016e-01,1.725957751274108942e-01,2.962633768717448102e-01
1.717660427093505859e-01,5.813441276550292969e-01,1.138035774230957142e-01,3.247734069824218528e-01
2.806799411773681641e-01,5.874800682067871094e-01,1.285845637321472168e-01,4.522491455078124778e-01
3.251659870147705078e-01,6.457719802856445312e-01,8.899726867675782083e-02,5.043085098266602007e-01
4.018659591674804688e-01,6.917920112609863281e-01,6.708251833915711282e-02,5.835398991902669419e-01
4.893040657043457031e-01,6.994619369506835938e-01,7.862873673439026156e-02,6.723589579264322991e-01
5.445280075073242188e-01,6.994619369506835938e-01,8.860322237014771340e-02,7.447064081827798887e-01
6.012859344482421875e-01,6.994619369506835938e-01,8.519454598426819125e-02,7.830031077067056700e-01
6.488399505615234375e-01,6.979279518127441406e-01,1.113381385803222656e-01,8.884882609049479241e-01
6.242959499359130859e-01,6.350340843200683594e-01,1.550386071205139271e-01,8.171249389648437278e-01
6.196939945220947266e-01,4.754979610443115234e-01,2.897815465927124357e-01,8.364625295003255134e-01
6.196939945220947266e-01,3.282339572906494141e-01,4.084685802459717130e-01,8.785975774129232141e-01
6.196939945220947266e-01,2.162520885467529297e-01,4.892043113708496316e-01,8.890033086140950447e-01
4.939060211181640625e-01,1.502900123596191406e-01,5.447870254516601340e-01,7.252330144246419419e-01
3.926620483398437500e-01,1.564259529113769531e-01,5.382177829742431641e-01,6.084873835245767637e-01
3.328361511230468750e-01,1.763679981231689453e-01,5.120935440063476562e-01,5.264311154683430916e-01
2.791459560394287109e-01,1.364841461181640625e-01,5.839507102966309260e-01,4.782874743143717411e-01
3.343701362609863281e-01,5.978393554687500000e-02,6.363583564758301669e-01,4.938888867696126228e-01
4.524879455566406250e-01,2.392621040344238281e-01,4.662496566772461049e-01,6.944490432739257590e-01
4.524879455566406250e-01,3.144280910491943359e-01,3.983056306838989591e-01,6.587988535563150672e-01
3.711860179901123047e-01,3.435740470886230469e-01,3.650557279586792436e-01,5.568968454996744422e-01
2.592041492462158203e-01,3.757879734039306641e-01,3.155947208404541460e-01,4.094215710957844756e-01
2.055139541625976562e-01,3.573801517486572266e-01,3.402772426605225053e-01,3.236621538798014064e-01
2.055139541625976562e-01,4.509539604187011719e-01,2.345000028610229603e-01,3.235982894897461160e-01
