HeadYaw, HeadPitch, LShoulderPitch, LShoulderRoll, LElbowYaw, LElbowRoll, LWristYaw, LHand, LHipYawPitch, LHipRoll, LHipPitch, LKneePitch, LAnklePitch, LAnkleRoll, RHipYawPitch, RHipRoll, RHipPitch, RKneePitch, RAnklePitch, RAnkleRoll, RShoulderPitch, RShoulderRoll, RElbowYaw, RElbowRoll, RWristYaw, RHand, BlobX, BlobY
3.819241523742675781e-01,1.257460117340087891e-01,1.978440284729003906e-01,1.779019832611083984e-01,-1.149007797241210938e+00,-8.267841339111328125e-01,-1.256388187408447266e+00,2.003999948501586914e-01,-6.093978881835937500e-03,-1.027359962463378906e-01,-9.663779735565185547e-01,2.110742092132568359e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-6.093978881835937500e-03,5.833387374877929688e-02,-9.833359718322753906e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.659830093383789062e+00,-1.058878898620605469e-01,1.682756066322326660e+00,1.155144214630126953e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.634627990722656250e+02,7.607922363281250000e+01
3.819241523742675781e-01,1.257460117340087891e-01,1.548919677734375000e-01,1.702320575714111328e-01,-1.149007797241210938e+00,-8.252501487731933594e-01,-1.256388187408447266e+00,2.003999948501586914e-01,-4.559993743896484375e-03,-1.027359962463378906e-01,-9.663779735565185547e-01,2.110742092132568359e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.559993743896484375e-03,5.833387374877929688e-02,-9.818019866943359375e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.659830093383789062e+00,-1.058878898620605469e-01,1.682756066322326660e+00,1.155144214630126953e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.660208282470703125e+02,5.347916793823242188e+01
3.819241523742675781e-01,1.257460117340087891e-01,1.226780414581298828e-01,9.506607055664062500e-02,-1.149007797241210938e+00,-8.267841339111328125e-01,-1.256388187408447266e+00,1.999999880790710449e-01,-4.559993743896484375e-03,-1.027359962463378906e-01,-9.663779735565185547e-01,2.110742092132568359e+00,-1.189441919326782227e+00,7.367396354675292969e-02,-4.559993743896484375e-03,5.833387374877929688e-02,-9.818019866943359375e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.659830093383789062e+00,-1.058878898620605469e-01,1.682756066322326660e+00,1.155144214630126953e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.956995239257812500e+02,4.918153381347656250e+01
3.834581375122070312e-01,7.665801048278808594e-02,1.625998020172119141e+00,2.576699256896972656e-01,-1.133667945861816406e+00,-8.007061481475830078e-01,-1.221106052398681641e+00,2.003999948501586914e-01,-4.559993743896484375e-03,-1.027359962463378906e-01,-9.249601364135742188e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.559993743896484375e-03,5.833387374877929688e-02,-9.342479705810546875e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.586973160505294800e-02,1.665966033935546875e+00,-8.901405334472656250e-02,1.682756066322326660e+00,1.155144214630126953e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.622645568847656250e+02,1.655608520507812500e+02
3.834581375122070312e-01,7.665801048278808594e-02,1.625998020172119141e+00,2.576699256896972656e-01,-1.133667945861816406e+00,-8.022401332855224609e-01,-1.221106052398681641e+00,2.003999948501586914e-01,-4.559993743896484375e-03,-1.027359962463378906e-01,-9.249601364135742188e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.559993743896484375e-03,5.833387374877929688e-02,-9.342479705810546875e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.665966033935546875e+00,-8.901405334472656250e-02,1.682756066322326660e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,5.382389831542968750e+01,1.030314483642578125e+02
3.849921226501464844e-01,4.751205444335937500e-02,4.847021102905273438e-01,-1.104898452758789062e-01,-1.150541782379150391e+00,-8.221821784973144531e-01,-1.224174022674560547e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112276077270507812e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.293606758117675781e-02,-9.679961204528808594e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.155144214630126953e+00,-2.918791770935058594e-02,3.600001335144042969e-03,2.490562286376953125e+02,2.055338134765625000e+02
3.865261077880859375e-01,4.751205444335937500e-02,3.359041213989257812e-01,-6.907200813293457031e-02,-1.153610229492187500e+00,-8.206479549407958984e-01,-1.224174022674560547e+00,2.003999948501586914e-01,-3.984212875366210938e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-3.984212875366210938e-02,6.293606758117675781e-02,-9.679961204528808594e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-3.072190284729003906e-02,3.600001335144042969e-03,2.377304840087890625e+02,1.502617034912109375e+02
3.849921226501464844e-01,4.751205444335937500e-02,3.128941059112548828e-01,-9.245872497558593750e-03,-1.152075767517089844e+00,-8.206479549407958984e-01,-1.222640037536621094e+00,2.003999948501586914e-01,-3.984212875366210938e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.188891887664794922e+00,7.516529411077499390e-02,-3.984212875366210938e-02,6.293606758117675781e-02,-9.664621353149414062e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.155144214630126953e+00,-2.918791770935058594e-02,3.600001335144042969e-03,2.154821014404296875e+02,1.393898162841796875e+02
3.849921226501464844e-01,4.751205444335937500e-02,2.944860458374023438e-01,1.069593429565429688e-02,-1.153610229492187500e+00,-8.206479549407958984e-01,-1.222640037536621094e+00,2.003999948501586914e-01,-4.137611389160156250e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-4.137611389160156250e-02,6.293606758117675781e-02,-9.664621353149414062e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.586973160505294800e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,2.149694213867187500e+02,1.380897064208984375e+02
3.849921226501464844e-01,4.751205444335937500e-02,2.546019554138183594e-01,8.125996589660644531e-02,-1.153610229492187500e+00,-8.206479549407958984e-01,-1.222640037536621094e+00,2.003999948501586914e-01,-3.984212875366210938e-02,-1.088719367980957031e-01,-9.479701519012451172e-01,2.112546443939208984e+00,-1.189441919326782227e+00,7.501578330993652344e-02,-3.984212875366210938e-02,6.447005271911621094e-02,-9.649281501770019531e-01,2.112546443939208984e+00,-1.186300277709960938e+00,-7.512402534484863281e-02,1.673635959625244141e+00,-1.058878898620605469e-01,1.702698111534118652e+00,1.153610229492187500e+00,-2.918791770935058594e-02,3.600001335144042969e-03,1.966722717285156250e+02,1.273207244873046875e+02
